name,category,cell_id,position_x,position_y,position_z
"A Cave",dungeon,0x018B0191,50,-10,0
"A Drudge Nest (Hebian-to)",dungeon,0x01DC015C,32.3,-12,6
"A Drudge Nest (Rithwic)",dungeon,0x01D80108,21.4,-1.3,0
"A Mosswart Hideout",dungeon,0x02B40245,80,-100,0
"A Mosswart Nest",dungeon,0x01DF0106,7.1,-28.8,0.5
"A Rat Nest",dungeon,0x01DD015F,30.1,-66.6,0
"A Red Rat Lair",dungeon,0x01D90100,3,-49.9,0
"A Ruin (Arwic)",dungeon,0x0187011D,10,-30,0
"A Ruin (Mayoi)",dungeon,0x01DE0195,30.1,-8.2,0
"A Ruin (Rithwic)",dungeon,0x01B8012E,30.29,-48.72,0
"A Ruin (Samsur)",dungeon,0x01B9011F,0,-10,0
"A Ruin (Yanshi)",dungeon,0x01DA010F,11.4,-21.6,0
"A Small Cave",dungeon,0x01E70121,58.561,-28.65,0
"A Small Ruin (5+)",dungeon,0x01480139,50,-30,0
"Abandoned Arena",dungeon,0x01A80156,40,-10,0
"Abandoned Armory",dungeon,0x5645023C,90,-80,0.005
"Abandoned Mine",dungeon,0x01C9022D,72.9,-30.2,0
"Abandoned Shops",dungeon,0x0159018F,180.2,-51.2,0
"Abandoned Tumerok Site",dungeon,0x02840211,20,0,0
"Abayar's Laboratory",dungeon,0x018E037B,11.736,-150.022,0.005
"Abayar's Study",dungeon,0x01990175,50.0151,-155.699,0.005
"Abhorrent Vault (90+)",dungeon,0x02D40260,70,-20,0.005
"Abyssal Olthoi Chasm",dungeon,0x5D4E02EF,70,-18.4296,0.005
"Accord Veranda",housing,0x90000161,83.74,-93.75,0
"Accursed Halls",dungeon,0x01F90101,0,-130,-18
"Acid Guardian Lair (60-79)",dungeon,0x5943014A,47.5,-2.5,6.005
"Acid Ziggurat (40-59)",dungeon,0x58460104,20,-20,0.005
"Acidic Refuge (150+)",dungeon,0x576C01C1,14.3607,-40,6.005
"Acolyte's Chamber",dungeon,0x00DD0102,9.51546,-20.0248,0.006
"Adventurer's Haven",dungeon,0x01AC010C,10.28,-19.9,0
"Aerbax Haven",dungeon,0x029F017E,60,-610,0
"Aerbax Laboratory",dungeon,0x029E0269,50,-10,6
"Aerbax's Holding (60+)",dungeon,0x594B012B,140,0,0.005
